applicant_name,age,gender,marital_status,dependents,education,employment_type,years_of_employment,monthly_income,bank_balance,existing_emi,existing_loan_amount,debt_to_income_ratio,credit_score,credit_history,previous_defaults,loan_amount_requested,loan_tenure,loan_purpose,collateral_value,property_area,loan_status,loan_to_income_ratio,collateral_to_loan_ratio,net_disposable_income,income_per_dependent
523,54,0,0,0,0,4,0.0,10000.0,64933.56,1072.3,31511.34,10.72,614,1,0,72700.13,60,1,100227.26,0,0,0.6058344166666667,1.3786393504385754,8927.7,10000.0
319,55,1,0,2,0,2,30.4,51224.5,228973.99,18092.2,966386.3,35.32,677,1,1,2503275.67,300,2,2754664.51,0,1,4.072393207026585,1.1004239537070242,33132.3,17074.833333333332
535,53,0,1,1,0,0,0.7,294144.27,353805.96,37477.62,1842531.35,12.74,597,1,0,6983839.91,240,6,6138290.29,2,1,1.9785755444655326,0.8789276915140514,256666.65000000002,147072.135
725,56,1,0,2,1,4,0.0,10000.0,13239.79,3097.45,160780.55,30.97,532,1,2,1152433.41,480,2,1395453.34,2,0,9.603611749999999,1.2108754639454615,6902.55,3333.3333333333335
401,44,1,0,1,0,4,0.0,10000.0,37388.54,2013.55,53818.26,20.14,841,0,0,84854.24,180,3,131.91,1,0,0.7071186666666667,0.001554548128649788,7986.45,5000.0
324,26,1,0,0,0,3,1.0,86569.38,125984.79,23476.62,1213188.94,27.12,523,1,3,8824355.0,36,2,11757591.43,2,0,8.494492124890655,1.3324023602858226,63092.76000000001,86569.38
508,58,1,0,0,0,2,10.2,83970.82,548309.97,18794.64,217678.52,22.38,754,0,0,6229923.33,120,0,6198399.7,2,1,6.182627220979859,0.9949399650155888,65176.18000000001,83970.82
1097,41,0,0,2,0,2,22.4,76451.17,219001.18,8166.02,252465.11,10.68,633,1,0,875670.38,360,5,2082.12,2,1,0.954498559886875,0.002377744009109912,68285.15,25483.72333333333
270,43,1,0,2,0,2,19.6,63246.35,81989.01,25691.52,758839.76,40.62,697,0,0,434561.56,240,6,4880.2,1,0,0.5725779168811059,0.01123016955296276,37554.83,21082.116666666665
769,37,0,0,0,0,3,2.3,16091.79,109313.14,5691.61,73203.85,35.37,689,1,0,141637.8,180,6,142616.89,1,1,0.733488940633702,1.0069126320798545,10400.18,16091.79
292,29,0,1,1,0,0,10.5,233078.61,394348.23,165414.07,3000000.0,70.97,677,1,0,2446835.54,480,3,1976.25,2,0,0.8748248570156939,0.0008076758603890477,67664.53999999998,116539.305
817,62,0,1,0,0,3,26.4,30650.91,57773.01,4666.37,57945.31,15.22,677,0,0,534508.25,360,5,3264.96,2,0,1.4532147387032446,0.006108343510132912,25984.54,30650.91
611,56,1,1,0,1,4,0.0,10000.0,42130.77,1029.57,28877.95,10.3,674,0,0,572721.63,180,0,591208.14,0,0,4.77268025,1.0322783513519473,8970.43,10000.0
756,49,0,0,1,0,2,28.4,48595.15,115429.12,11118.74,616884.63,22.88,653,1,0,1091861.16,36,6,1710641.08,1,1,1.872376770109774,1.5667203328305956,37476.41,24297.575
439,39,1,1,0,0,3,11.8,34353.34,63620.5,15924.25,222673.62,46.35,579,0,1,246257.33,60,1,4697.84,1,0,0.5973638710724101,0.01907695498850735,18429.089999999997,34353.34
484,58,0,1,0,0,2,34.9,64849.79,488145.92,10382.24,522015.22,16.01,723,0,1,6093319.59,60,2,10559571.7,1,1,7.830042818951303,1.7329751942323444,54467.55,64849.79
204,45,1,0,0,0,2,25.3,77148.97,486967.21,11975.98,286348.28,15.52,477,1,0,1323187.03,120,5,411.31,1,1,1.429255449986349,0.0003108479683329423,65172.990000000005,77148.97
101,40,0,1,0,0,2,7.3,67860.86,255275.77,34593.62,754780.1,50.98,589,1,0,690290.03,120,5,1217653.75,2,1,0.8476781633281197,1.763974122587284,33267.24,67860.86
452,41,1,0,1,0,2,21.1,70456.9,255900.15,25537.79,810426.82,36.25,605,0,0,5097151.8,60,2,680.55,2,0,6.028687750951291,0.00013351574108505068,44919.10999999999,35228.45
963,31,1,0,0,0,0,7.5,51279.19,378759.47,16325.49,246404.43,31.84,699,0,0,840820.64,12,4,1193381.91,1,1,1.36640977883361,1.419306155472111,34953.700000000004,51279.19
446,25,0,0,2,1,2,1.8,57283.15,421967.51,50383.88,2151027.2,87.96,567,0,1,759673.21,360,6,1308542.5,0,0,1.1051434991499827,1.7225071027580399,6899.270000000004,19094.383333333335
430,45,1,0,2,1,3,26.6,42510.09,169690.48,6085.25,78254.75,14.31,743,1,0,3104581.24,24,0,3366086.81,1,1,6.085969315363326,1.0842321555740637,36424.84,14170.029999999999
884,60,0,1,0,0,2,1.7,62757.66,105639.82,22270.38,637236.86,35.49,605,0,1,3178164.96,360,2,5179184.35,1,0,4.22015543600574,1.6296147038258202,40487.28,62757.66
855,23,0,0,1,0,0,4.3,189220.33,1068425.1,87795.04,3000000.0,46.4,640,1,0,3228504.93,24,6,4395355.22,1,1,1.421845514697073,1.361421250795488,101425.29,94610.165
669,59,1,1,1,0,2,1.6,90182.8,343861.94,29638.22,1432805.36,32.86,548,1,0,468335.21,60,1,3065.07,2,1,0.432764719732218,0.006544607226947554,60544.58,45091.4
426,58,1,1,1,1,2,20.4,57918.57,326122.42,22336.76,979226.34,38.57,579,0,3,256109.17,180,1,2915.78,1,1,0.36849029306720343,0.011384910583248543,35581.81,28959.285
648,33,1,0,1,0,3,8.5,173406.06,94060.6,18976.69,771258.69,10.94,690,1,0,10000000.0,180,0,994.92,2,1,4.8056759569609815,9.9492e-05,154429.37,86703.03
194,49,0,0,0,0,2,0.5,70559.92,370389.2,6457.7,326942.38,9.15,656,1,0,425290.88,36,6,362423.23,0,1,0.5022809927600069,0.8521772909872884,64102.22,70559.92
432,28,0,0,0,0,2,0.3,68494.56,412951.12,19834.66,381658.18,28.96,647,0,1,830654.9,300,5,3298.13,2,0,1.0106093340356763,0.003970517720415542,48659.899999999994,68494.56
936,55,1,0,0,1,2,16.9,41309.01,138589.67,12851.79,191146.9,31.11,543,1,1,743653.55,180,4,3475.11,0,1,1.500184322177333,0.004673022807461889,28457.22,41309.01
294,52,0,0,3,0,0,12.2,49076.2,245384.61,23432.7,493597.54,47.75,633,0,0,761323.54,180,5,1358933.52,0,0,1.2927575552576065,1.7849619098865641,25643.499999999996,12269.05
978,36,1,1,0,0,2,16.9,97676.11,297812.95,41747.05,491314.71,42.74,685,0,0,6641028.91,24,0,7014362.88,0,1,5.665859091167055,1.056216284413073,55929.06,97676.11
219,24,0,1,1,0,3,4.3,93173.57,572389.43,21259.91,897385.78,22.82,743,1,0,1465860.85,120,1,4561.83,1,1,1.3110485176572426,0.0031120484594427907,71913.66,46586.785
132,64,0,0,0,0,3,8.0,34035.02,83180.25,8603.26,301602.93,25.28,589,1,1,661355.28,240,5,4572.01,0,0,1.6193009435575476,0.006913092158272328,25431.759999999995,34035.02
850,41,0,0,3,0,2,6.5,137766.9,526995.91,50048.7,597108.12,36.33,536,0,3,555111.64,120,3,3514.38,0,0,0.33577951839907366,0.006330942727124223,87718.2,34441.725
275,61,1,0,2,1,2,28.4,193728.96,938239.32,102722.82,3000000.0,53.02,800,1,0,10000000.0,120,0,12125104.21,1,1,4.301542388568716,1.2125104210000002,91006.13999999998,64576.32
770,51,1,1,0,0,3,32.5,38715.96,161565.32,8812.79,487917.12,22.76,674,1,0,4049260.45,36,2,275.56,2,0,8.715743348049056,6.805193279182622e-05,29903.17,38715.96
1006,56,1,1,1,1,3,15.6,80213.19,412953.55,10454.48,403741.96,13.03,567,1,4,786846.78,180,3,1340656.38,2,1,0.8174536507025839,1.7038341060504814,69758.71,40106.595
476,55,1,1,0,1,3,8.2,45459.75,111750.89,16671.29,300033.09,36.67,574,0,1,567541.85,300,6,901137.85,1,0,1.0403742688128876,1.5877910148828673,28788.46,45459.75
617,29,1,0,3,0,3,7.2,26439.12,19035.88,4667.12,156114.32,17.65,592,0,0,228870.0,12,6,1631.99,2,0,0.72137423635885,0.007130641849084633,21772.0,6609.78
596,37,0,1,1,0,4,0.0,10000.0,67137.23,3710.5,165552.21,37.1,638,1,0,165677.86,240,6,211293.35,2,0,1.3806488333333333,1.2753264075236126,6289.5,5000.0
707,42,1,1,0,0,0,16.0,43948.81,141254.78,14422.94,538278.62,32.82,710,1,0,236895.65,180,1,213.05,2,1,0.44918859388153326,0.0008993411234018017,29525.869999999995,43948.81
1,43,1,0,0,0,2,0.4,81296.97,619364.93,37058.54,1050399.41,45.58,771,1,1,4446658.5,24,0,6013341.36,2,1,4.558040416512448,1.3523281268395133,44238.43,81296.97
229,22,0,1,1,1,2,3.8,155185.17,1161162.73,7057.02,96094.32,4.55,542,0,4,2740758.53,300,1,2528151.24,0,1,1.4717678510560426,0.9224275733623277,148128.15000000002,77592.585
350,45,1,0,1,0,2,1.0,165271.5,225166.18,47233.08,1552791.84,28.58,653,1,1,8182529.43,60,2,192.56,2,1,4.125801801883568,2.3533065373893805e-05,118038.42,82635.75
875,27,1,1,0,0,2,4.0,80464.82,127573.62,24417.17,1451647.53,30.35,681,1,1,437088.2,120,1,720.26,2,1,0.4526700819894541,0.0016478596310767484,56047.65000000001,80464.82
601,54,0,0,1,0,2,20.6,66482.04,208601.83,9396.65,317820.28,14.13,603,0,0,3061178.2,60,0,3542.87,2,1,3.837099212559262,0.0011573550340845886,57085.38999999999,33241.02
128,51,1,1,0,1,1,20.6,15736.13,101956.74,3353.38,53131.11,21.31,573,1,0,188941.74,300,1,4710.08,2,0,1.0005728854553184,0.024928742584883572,12382.75,15736.13
179,62,1,0,3,0,4,0.0,10000.0,41855.14,893.46,13065.36,8.93,749,1,0,157923.18,60,6,19.36,0,1,1.3160265,0.00012259124974560415,9106.54,2500.0
565,54,1,1,0,1,2,21.6,109880.66,868696.81,53949.62,2312683.73,49.1,650,1,2,1613738.55,360,5,4436.63,1,1,1.2238569781069755,0.0027492867416472142,55931.04,109880.66
594,37,1,0,1,0,2,3.7,75865.4,92744.73,19137.5,218795.33,25.23,429,0,4,1870652.4,120,0,2933615.13,2,0,2.0547930940850505,1.5682310246414566,56727.899999999994,37932.7
997,64,1,0,0,0,4,0.0,10000.0,60027.66,4918.42,197303.62,49.18,607,0,4,99856.35,240,6,86202.22,0,0,0.83213625,0.8632622762598472,5081.58,10000.0
419,39,1,0,0,0,0,13.5,108089.91,687164.43,53139.15,624827.8,49.16,478,0,0,562874.31,60,5,3343.55,2,0,0.43395532941048803,0.005940136084732664,54950.76,108089.91
495,35,1,0,0,1,0,0.6,39872.23,288114.27,2152.33,117322.9,5.4,760,1,0,969874.3,240,4,1718771.34,1,1,2.0270463511404637,1.7721588663603107,37719.9,39872.23
992,61,0,0,2,1,3,7.9,124704.8,333490.46,34062.05,572786.83,27.31,656,1,1,7341594.83,120,2,6611980.75,0,1,4.905982521656477,0.9006191301897274,90642.75,41568.26666666667
384,37,1,0,2,0,3,2.4,56484.74,450681.99,6680.83,370849.25,11.83,536,1,0,3087905.81,120,2,5421587.02,2,1,4.5556637804594065,1.7557488322482218,49803.909999999996,18828.246666666666
1137,24,1,0,1,0,2,0.6,175787.7,235059.62,41184.67,1657683.39,23.43,846,1,0,5493444.74,24,0,9318694.88,0,1,2.6042041716608533,1.6963299570753487,134603.03000000003,87893.85
536,42,1,1,0,0,0,21.7,40955.79,66314.73,18912.62,395093.53,46.18,582,1,0,602455.03,24,3,640821.37,1,1,1.22582389042754,1.063683325874132,22043.170000000002,40955.79
711,56,0,0,3,1,0,25.5,97869.42,595806.55,37383.17,844905.97,38.2,560,0,0,2207580.64,480,6,1726.91,1,0,1.8796990248162637,0.0007822636096319453,60486.25,24467.355
285,29,1,0,1,0,0,1.4,91582.07,458066.98,53940.15,1302205.33,58.9,676,0,0,1771847.98,180,1,2948.3,2,0,1.6122588005854566,0.001663968937109379,37641.920000000006,45791.035
215,41,0,0,0,0,0,21.6,83191.99,435348.95,22471.97,652154.23,27.01,755,1,0,817207.32,240,3,3880.01,0,1,0.8185957566347432,0.004747889433981086,60720.020000000004,83191.99
1089,26,1,1,1,0,2,4.1,66461.66,85726.86,26478.55,1056011.25,39.84,591,1,0,7355440.11,60,2,8723883.85,2,0,9.22266074154633,1.186045120283088,39983.11,33230.83
528,51,0,0,0,1,2,23.3,77120.61,163677.56,16596.2,476232.06,21.52,667,1,0,457153.07,120,6,814589.12,2,1,0.49398065143243375,1.7818738918235855,60524.41,77120.61
371,42,1,0,3,1,3,13.1,47458.8,116887.9,14410.17,156755.19,30.36,634,0,0,895367.09,180,1,330.79,2,0,1.572183118129128,0.0003694462346164633,33048.630000000005,11864.7
225,35,1,0,0,0,3,16.4,23792.27,43854.18,9744.63,445207.02,40.96,702,1,0,1592374.33,120,2,2348.17,0,1,5.5773518387834935,0.0014746344221713244,14047.640000000001,23792.27
669,31,1,0,0,0,2,4.7,72156.68,164863.02,23858.51,1353383.92,33.06,557,1,2,675664.34,120,5,2694.21,1,0,0.780320847171276,0.0039874976974513705,48298.17,72156.68
941,46,1,0,0,1,0,2.2,37481.78,148297.98,6604.55,108713.13,17.62,514,1,1,505767.01,12,1,3936.68,1,0,1.1244730328531178,0.007783583986626569,30877.23,37481.78
599,51,0,1,0,0,3,25.0,88388.86,214509.81,66130.51,720202.54,74.82,542,1,1,10000000.0,480,2,10796321.65,1,1,9.428035765291387,1.079632165,22258.350000000006,88388.86
836,63,0,0,1,1,0,24.7,88200.29,338654.94,24723.82,416095.38,28.03,533,1,4,1031202.34,120,5,3638.02,1,0,0.9742998388478465,0.0035279400161174965,63476.469999999994,44100.145
515,40,0,0,0,1,1,32.6,45128.54,304170.57,1750.88,21365.28,3.88,740,1,1,1288575.64,36,4,2105495.92,0,1,2.3794544058667384,1.6339715377515596,43377.66,45128.54
737,28,1,0,1,0,0,1.3,238352.34,1717133.91,61578.32,3000000.0,25.83,798,0,0,4225492.41,300,6,6446001.49,1,0,1.4773270843491615,1.5255030336215891,176774.02,119176.17
360,58,0,1,0,0,2,31.4,58162.59,427968.15,21882.41,287197.75,37.62,484,0,1,3691728.65,180,2,5652215.29,0,0,5.289380238511845,1.5310484127808257,36280.17999999999,58162.59
760,49,1,0,1,0,2,1.7,62618.2,218733.42,25501.66,745529.96,40.73,554,1,2,165513.21,300,4,4315.29,0,0,0.22026770970740137,0.02607217877050418,37116.53999999999,31309.1
524,52,0,0,1,0,2,12.3,128207.72,788080.6,7025.39,256445.24,5.48,550,1,3,10000000.0,24,2,3839.24,2,1,6.499868598656409,0.00038392399999999995,121182.33,64103.86
1064,25,0,1,0,0,3,5.0,67656.09,134216.9,27546.68,452256.49,40.72,673,0,0,407053.48,300,6,395840.44,1,0,0.5013757569101811,0.9724531528387867,40109.409999999996,67656.09
1131,35,0,0,2,0,0,11.3,91478.12,160957.19,36092.18,1191813.06,39.45,437,0,2,985457.08,360,6,923392.49,2,0,0.8977165614393183,0.9370194894738592,55385.939999999995,30492.706666666665
928,55,0,0,0,1,0,4.0,229551.34,1782873.62,80791.73,1770262.72,35.2,705,0,0,274035.53,24,3,1621.3,2,1,0.09948229518793777,0.005916386097817315,148759.61,229551.34
643,58,0,0,1,0,1,27.9,32449.14,20974.33,3468.33,132393.43,10.69,664,0,0,431639.21,360,6,2290.97,2,0,1.1085019253720336,0.005307604005669457,28980.809999999998,16224.57
1073,40,1,0,0,0,0,21.1,459657.24,2780477.44,83478.1,1651537.67,18.16,880,1,0,10000000.0,36,0,11868375.06,1,1,1.812945083456824,1.186837506,376179.14,459657.24
488,57,1,0,0,0,1,21.1,42015.88,62426.85,16680.23,553479.56,39.7,705,0,2,1724774.49,60,0,2875531.15,1,0,3.4208781893893456,1.667192532514787,25335.649999999998,42015.88
788,58,0,0,0,0,2,21.2,127054.65,788246.51,37407.04,545551.31,29.44,685,0,1,2372588.35,300,0,4045883.82,0,0,1.5561468693458553,1.705261605958741,89647.60999999999,127054.65
1131,38,1,0,3,1,2,11.5,39742.64,222121.1,6622.69,359823.51,16.66,706,0,0,501460.12,36,1,4016.16,1,1,1.051473765540823,0.008008931996426754,33119.95,9935.66
502,61,1,0,2,0,3,4.5,146011.24,817317.03,19299.23,824544.73,13.22,703,0,1,847810.75,120,1,1475026.37,2,0,0.4838729938416614,1.7398061654679422,126712.01,48670.41333333333
712,33,0,1,0,0,2,4.9,67162.6,310070.39,25409.14,769327.54,37.83,542,1,0,4666705.07,120,0,2914.2,1,1,5.7903072419273025,0.0006244662896599119,41753.46000000001,67162.6
935,31,1,0,0,0,3,11.5,71955.42,469105.84,21748.56,1112663.34,30.23,721,1,0,1073622.29,300,6,1091565.24,1,1,1.2433882557653984,1.0167125349083428,50206.86,71955.42
1022,51,0,1,0,0,2,20.2,140810.43,293124.83,41813.46,597299.85,29.69,453,1,2,10000000.0,120,2,11991905.89,1,0,5.918122211070113,1.199190589,98996.97,140810.43
789,49,1,0,2,1,2,7.6,51390.03,219136.65,12861.47,457566.05,25.03,652,0,0,3133780.86,60,0,4524154.64,2,0,5.081693958925496,1.4436729439977496,38528.56,17130.01
1115,27,1,1,0,0,2,3.8,40937.12,278723.11,12628.81,535194.64,30.85,594,0,0,203557.9,60,5,2548.45,1,0,0.4143710728388644,0.012519533754278266,28308.310000000005,40937.12
400,58,0,1,0,0,2,3.4,73485.95,304703.38,10262.7,535582.12,13.97,731,0,0,6110235.85,60,2,8953935.44,0,1,6.929029574134013,1.46539931678742,63223.25,73485.95
439,29,1,0,2,0,0,7.1,216573.34,824399.14,57815.71,2398648.06,26.7,651,1,0,2186172.07,24,6,3130900.78,0,1,0.8411977477621821,1.432138312882206,158757.63,72191.11333333333
474,57,0,0,0,0,2,5.9,71708.96,502673.7,31370.18,832596.09,43.75,655,1,0,547608.33,480,5,1198.4,1,1,0.6363783200871969,0.0021884254390359625,40338.780000000006,71708.96
204,21,0,1,0,0,2,0.1,78063.48,231662.59,23111.57,356119.73,29.61,870,0,0,916767.98,240,1,609.51,0,1,0.9786564942616787,0.0006648465187451246,54951.909999999996,78063.48
971,56,0,1,0,1,4,0.0,10000.0,21833.66,1830.46,70448.92,18.3,569,1,0,236905.83,300,0,407294.75,2,0,1.9742152499999999,1.7192263693974945,8169.54,10000.0
1010,56,1,1,1,0,3,23.6,150925.91,366191.76,58023.78,2160923.4,38.45,553,1,4,327915.01,180,5,4318.18,2,0,0.18105738659010462,0.013168595118594906,92902.13,75462.955
37,56,0,0,0,0,0,2.9,177029.94,630750.4,21310.23,1038822.13,12.04,525,0,1,1244929.27,120,3,2747.67,2,0,0.5860257639658767,0.002207089242909358,155719.71,177029.94
1089,50,1,0,0,0,2,9.4,117864.31,877551.63,29446.35,1565076.67,24.98,740,1,0,7840187.13,240,0,6619612.01,2,1,5.543229562027725,0.8443181138713458,88417.95999999999,117864.31
435,42,1,1,1,1,3,21.9,29716.57,167459.86,5675.28,85776.56,19.1,741,1,0,444461.9,36,1,729.46,2,1,1.2463918839444348,0.0016412205410632496,24041.29,14858.285
161,52,1,0,1,0,2,31.4,104538.63,234815.03,66395.04,2528136.16,63.51,696,1,0,3523751.46,36,0,3895247.91,1,1,2.808970760378245,1.105426405413962,38143.59000000001,52269.315
983,33,1,0,2,0,0,13.2,140183.27,1067531.54,12776.57,648073.89,9.11,648,0,1,1955673.86,60,6,2948037.25,2,0,1.1625696965598442,1.5074278540492432,127406.69999999998,46727.75666666666
149,56,1,0,1,0,3,31.6,42502.22,308171.36,30122.77,1597657.05,70.87,780,1,0,825669.37,360,6,4446.22,1,0,1.6188749866085426,0.005384988424603907,12379.45,21251.11
938,46,1,0,3,1,3,7.3,87360.85,288450.71,36601.79,1977708.08,41.9,725,1,0,1021780.94,60,3,400.55,1,1,0.9746747160388968,0.00039201161845904076,50759.060000000005,21840.2125
198,41,1,0,1,0,2,10.6,87418.56,627045.9,49669.98,2421420.31,56.82,584,1,0,4259716.82,180,2,5064670.31,2,0,4.060652585293863,1.1889687798542437,37748.579999999994,43709.28
573,43,0,0,1,1,3,24.4,67485.39,482736.29,8749.22,360256.82,12.96,580,0,0,1167439.01,24,1,1628.67,1,1,1.4415947535706124,0.001395079302686656,58736.17,33742.695
719,46,1,0,2,0,2,11.4,56821.1,132872.42,17988.91,401808.34,31.66,680,1,0,923826.7,180,6,1276078.08,2,1,1.3548762402229688,1.3812959508531202,38832.19,18940.366666666665
177,22,1,1,0,0,2,1.2,93003.05,686169.24,4680.31,49040.83,5.03,616,1,0,731681.84,240,5,1409.57,2,1,0.6556073877863862,0.0019264794107777775,88322.74,93003.05
889,27,1,0,1,0,3,7.0,30163.85,206529.82,6368.3,318121.06,21.11,587,0,2,557650.71,120,1,3218.3,2,0,1.5406154221029478,0.005771175293581175,23795.55,15081.925
1089,32,1,1,0,1,2,8.4,99905.12,124581.49,20399.56,1217004.13,20.42,416,0,4,2126972.59,24,4,3707.52,2,0,1.7741604817984638,0.0017430972159354439,79505.56,99905.12
726,26,0,1,0,0,2,1.9,66202.36,55001.53,24289.8,1190677.65,36.69,768,1,0,970471.95,360,5,3040.84,2,1,1.2215978780816876,0.0031333620719279937,41912.56,66202.36
858,40,0,0,0,0,2,11.8,146991.3,900964.44,51498.54,2911864.75,35.04,669,1,0,10000000.0,120,2,13354247.79,2,1,5.6692697685736055,1.335424779,95492.75999999998,146991.3
242,51,1,0,1,1,2,12.2,47303.96,274126.41,8275.49,391514.86,17.49,616,0,1,2855766.94,300,2,2619747.01,2,0,5.030880677502123,0.9173532242095358,39028.47,23651.98
740,50,0,1,0,1,3,7.5,50733.63,139164.95,18679.24,392067.73,36.82,601,0,1,2305622.57,180,0,2236865.14,1,0,3.787137135006241,0.9701783670516377,32054.389999999996,50733.63
920,42,1,0,1,1,2,21.5,37753.99,221994.63,4589.26,251657.97,12.16,662,0,3,422993.47,120,6,580861.47,2,1,0.9336617357088173,1.3732161633606306,33164.729999999996,18876.995
959,59,0,1,0,0,3,18.3,53481.49,228204.95,20297.93,500507.72,37.95,621,1,0,954576.52,120,6,1186425.05,2,1,1.4873939251380868,1.2428810316851289,33183.56,53481.49
903,46,1,1,0,0,3,20.1,66428.82,215880.91,23851.76,276599.61,35.91,750,0,0,987675.62,240,1,1361281.16,1,1,1.23901495866804,1.3782674518178346,42577.06000000001,66428.82
355,24,1,0,0,0,2,2.8,55961.64,217604.38,38377.68,849830.75,68.58,573,1,0,703226.72,36,1,2502.53,1,0,1.047185655507356,0.0035586389550158167,17583.96,55961.64
825,55,1,0,0,0,2,10.4,63229.19,313669.17,22714.85,275339.09,35.92,563,0,0,291053.12,24,5,1012.84,0,0,0.38359540374733037,0.00347991459428437,40514.340000000004,63229.19
264,46,1,0,0,0,2,23.4,60231.53,433887.67,9744.8,144617.6,16.18,778,0,0,3903431.71,24,2,3777036.76,1,1,5.400592942489313,0.9676195308665974,50486.729999999996,60231.53
374,49,0,0,0,0,2,25.6,169023.48,711653.16,2286.11,135625.4,1.35,714,1,2,3451938.03,60,6,3784373.5,2,1,1.7019026143586675,1.096304008678858,166737.37000000002,169023.48
465,46,1,1,0,0,2,5.2,127027.03,900417.54,37592.11,995962.12,29.59,671,1,0,9064067.9,24,2,4684.3,0,1,5.94628553990963,0.0005167988646686991,89434.92,127027.03
609,45,1,0,0,0,2,2.8,144463.57,475306.69,46079.42,1905735.66,31.9,610,0,2,1308902.39,240,6,1611521.88,2,0,0.7550360216535328,1.231200960676678,98384.15000000001,144463.57
623,25,1,1,0,0,0,3.8,86273.91,217522.11,9404.74,519358.19,10.9,873,1,0,1153244.68,36,4,1055376.22,0,1,1.1139372648502117,0.9151364305448173,76869.17,86273.91
588,46,0,0,0,0,2,14.4,128315.07,600686.5,34113.86,888776.17,26.59,597,1,1,1530278.44,24,5,4614.34,0,1,0.9938287321460629,0.0030153597406756905,94201.21,128315.07
88,56,0,1,0,0,1,23.8,63949.33,364627.23,20812.02,389272.34,32.54,748,0,0,3935879.97,36,2,2091.11,2,1,5.128904360686813,0.0005312941491963232,43137.31,63949.33
770,34,0,0,1,1,4,0.0,10000.0,13961.66,497.25,27019.45,4.97,650,0,0,353290.91,120,0,430656.93,2,0,2.9440909166666667,1.2189867268308716,9502.75,5000.0
924,48,0,0,0,1,0,26.5,152064.82,780808.63,46290.07,1414310.8,30.44,527,0,1,1297367.61,60,3,4119.4,1,0,0.7109729094474317,0.0031751987395461484,105774.75,152064.82
262,22,0,1,1,0,2,3.2,99326.1,154373.54,58847.16,1770340.18,59.25,655,0,1,1546232.42,360,5,3202.81,2,1,1.2972693145776049,0.0020713638897831414,40478.94,49663.05
1141,36,1,1,0,0,1,26.3,49599.52,94408.6,10213.97,611740.19,20.59,622,0,0,4151385.06,12,2,7183223.23,1,1,6.97484078474953,1.7303196707076842,39385.549999999996,49599.52
1099,40,1,0,2,1,2,18.8,41362.66,285501.65,7012.41,288626.65,16.95,696,1,0,3167389.95,300,0,2900437.04,2,1,6.381339171610336,0.9157183314293208,34350.25,13787.553333333335
902,65,1,1,1,1,0,4.1,90931.61,172319.52,19297.69,414356.98,21.22,781,1,1,5573901.2,24,2,8620179.97,1,1,5.108144094959571,1.546525433568862,71633.92,45465.805
